name,image_url,player_ids
Aaron Pico,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-08/PICO_AARON_R_08-16.png?itok=3pRpVsFM,14081
Abubakar Nurmagomedov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-10/NURMAGOMEDOV_ABUBAKAR_L_10-22.png?itok=cWVqS41E,4673
Adrian Yanez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/YANEZ_ADRIAN_L_12-14.png?itok=9mJkShRG,2671;4674;6289;9177;14130
Al Iaquinta,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-11/67178%252Fprofile-galery%252Ffullbodyleft-picture%252FIAQUINTA_AL_L_11-06.png?itok=mZhV7N7C,4869
Aleksandre Topuria,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/TOPURIA_ALEKSANDRE_R_02-08.png?itok=snXUihdN,14023
Alex Morono,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-02/MORONO_ALEX_L_02-07.png?itok=lyXctDKo,4676
Alexandr Romanov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ROMANOV_ALEXANDR_L_11-02.png?itok=uNDUS7BF,4680;6296
Alexia Thainara,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/THAINARA_ALEXIA_L_03-28.png?itok=cIgMvBty,14053
Alistair Overeem,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-09/OVEREEM_ALISTAIR_L_04-20.png?VersionId=bXdyWxqT3s9LgovyRhZf2AXfXWZG.zt5&amp;itok=FaazjjCZ,2681;9187
Allan Nascimento,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/NASCIMENTO_ALLAN_L_11-01.png?itok=i9Jr652A,6299
Amanda Nunes,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-12/NUNES_AMANDA_R.png?itok=K44n8u9V,1390;4684;6302;9191;11355;14076
Anderson Silva,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Anderson_Silva/SILVA_ANDERSON_L.png?VersionId=oqn6CIQraQL7H1Maglm56oOzYSKBL0n0&amp;itok=GACwLYoT,1186;1392;2687;4687;6304;9193;11399;13985
Andre Lima,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/LIMA_ANDRE_L_09-07.png?itok=4vGti8K7,14043
Andre Muniz,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/MUNIZ_ANDRE_L_12-09.png?itok=J1QnUKoF,2688;4688
Andrea Lee,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/LEE_ANDREA_L_03-01.png?itok=kbKO2KQl,4689
Andreas Gustafsson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-09/GUSTAFSSON_ANDREAS_L_09-06.png?itok=SkV82_me,14080
Andrei Arlovski,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-06/ARLOVSKI_ANDREI_L_06-29.png?itok=BpbaBEAZ,4871;6305;11448
Anshul Jubli,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-02/JUBLI_ANSHUL_L_10-21.png?itok=lf2UjAWn,6307
Anthony Smith,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/SMITH_ANTHONY_L_04-26.png?itok=0mVJ0wsr,1187;1393;2690;4691;6308;11368
Ariane Lipski,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/DA_SILVA_ARIANE_L_06-07.png?itok=Yi-nNlDY,6310
Ariane da Silva,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-06/DA_SILVA_ARIANE_L_06-07.png?itok=Yi-nNlDY,2691;9195
Armen Petrosyan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/PETROSYAN_ARMEN_L_10-26.png?itok=mG5Eoafx,1396;11477
Askar Askarov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/64d4b199-f8a4-42dd-8e20-fb92da0368b4%252FASKAROV_ASKAR_L_03-26.png?itok=6GnBwLcv,4694
Aspen Ladd,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/67418%252Fprofile-galery%252Ffullbodyleft-picture%252FLADD_ASPEN_L_07-24.png?itok=sJpm0yt4,4695
Augusto Sakai,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/SAKAI_AUGUSTO_L_02-25.png?itok=8pGoHs_r,4696
